;Table name:NIR
;MariaDB types
;INT NOT NULL : ObjID,ID 
;INT NOT NULL DEFAULT -99 : FJ,FH,FK
;FLOAT NOT NULL DEFAULT -99.0 : eJ,eH,eK,J,H,K
;VARCHAR(255) NOT NULL DEFAULT 'N.A.' : Pub_NIR
;CONSTRAINT PRIMARY KEY (ObjID)
;CONSTRAINT FOREIGN KEY (ID) REFERENCES Identity(ID) ON DELETE CASCADE 
;ObjID,J,eJ,FJ,H,eH,FH,K,eK,FK,Pub_NIR,ID
3,20.50,0.0,4,19.24,0.0,5,21.03,0.0,6,Palau et al. 2014,3
35,17.36,0.12,7,15.16,0.05,8,14.41,0.10,9,Kim et al. 2016,35
38,-99.,-99.,-99,-99.,-99.,-99,16.3,0.1,23,Huard et al. 2005,38
142,16.3,0.1,7,13.36,0.04,8,11.85,0.03,9,Dunham et al 2008,142
97,19.14,0.04,26,18.04,0.04,27,16.81,0.02,28,Barrado et al 2007,97
0,15.8,0.1,7,14.5,0.1,8,13.8,0.1,9,Kim et al 2016,0
4,14.6,0.2,7,12.1,0.01,8,11.1,0.05,9,Kim et al 2016,4
10,15.4,0.1,7,12.3,0.05,8,10.1,0.05,9,Kim et al 2016,10
14,15.1,0.05,7,14.1,0.2,8,12.5,0.05,9,Kim et al 2016,14
186,18.2,0.,7,-99.,-99.,-99,17.6,0.,9,Santamaria et al 2020,186
189,18.2,0.,7,-99.,-99.,-99,17.6,0.,9,Santamaria et al 2020,189
190,18.2,0.,7,-99.,-99.,-99,17.6,0.,9,Santamaria et al 2020,190
16,13.2,0.05,7,13.7,0.2,8,11.7,0.05,9,Kim et al 2016,16
17,15.1,0.05,7,12.4,0.1,8,10.4,0.1,9,Kim et al 2016,17
18,15.1,0.05,7,13.5,0.1,8,12.7,0.2,9,Kim et al 2016,18
19,14.8,0.1,7,13.6,0.1,8,12.1,0.05,9,Kim et al 2016,19
26,13.0,0.1,7,12.1,0.1,8,11.3,0.05,9,Kim et al 2016,26
28,14.8,0.05,7,15.2,0.05,8,13.4,0.2,9,Kim et al 2016,28
29,14.1,0.05,7,13.9,0.2,8,12.6,0.1,9,Kim et al 2016,29
30,12.2,0.05,7,11.0,0.05,8,10.1,0.05,9,Kim et al 2016,30
37,16.2,0.05,7,15.4,0.2,8,14.3,0.1,9,Kim et al 2016,37
39,16.6,0.05,7,14.9,0.05,8,13.7,0.05,9,Kim et al 2016,39
40,16.7,0.1,7,14.7,0.1,8,12.2,0.05,9,Kim et al 2016,40
42,15.2,0.05,7,13.5,0.05,8,11.9,0.05,9,Kim et al 2016,42
46,16.3,0.05,7,14.3,0.1,8,13.0,0.1,9,Kim et al 2016,46
47,16.0,0.05,7,14.6,0.05,8,13.9,0.1,9,Kim et al 2016,47
58,18.,0.2,7,15.6,0.1,8,14.9,0.1,9,Kim et al 2016,58
59,12.0,0.1,7,10.2,0.05,8,8.93,0.02,9,Kim et al 2016,59
62,15.6,0.1,7,14.0,0.1,8,12.5,0.05,9,Kim et al 2016,62
63,15.5,0.2,7,14.2,0.05,8,13.3,0.1,9,Kim et al 2016,63
84,14.6,0.2,7,14.2,0.1,8,14.3,0.2,9,Kim et al 2016,84
68,13.9,0.1,7,13.5,0.1,8,12.4,0.05,9,Kim et al 2016,68
73,17.3,0.05,7,15.5,0.2,8,13.2,0.05,9,Kim et al 2016,73
75,13.5,0.05,7,12.3,0.05,8,11.5,0.05,9,Kim et al 2016,75
76,14.9,0.05,7,14.7,0.2,8,14.0,0.1,9,Kim et al 2016,76
7,15.8,0.,7,15.0,0.,8,14.3,0.,9,Dunham et al 2010,7
167,17.4,0.1,7,16.0,0.1,8,15.1,0.2,9,Morata et al 2015,167
162,17.0,0.2,7,17.0,0.1,8,15.3,0.1,9,Morata et al 2015,162
164,17.5,0.2,7,16.7,0.3,8,15.7,0.2,9,Morata et al 2015,164
171,17.1,0.2,7,16.6,0.2,8,15.8,0.1,9,Morata et al 2015,171
172,19.93,0.02,31,-99.,-99.,-99,17.88,0.01,32,Morata et al 2015,172
101,21.1,0.,33,20.8,0.,34,19.6,0.,35,Foster&Goodman 2005,101
94,13.7,0.2,7,13.7,0.2,8,13.5,0.1,9,Kim et al 2016,94
90,16.1,0.2,7,15.5,0.2,8,14.0,0.1,9,Kim et al 2016,90
89,15.9,0.2,7,15.4,0.1,8,14.9,0.2,9,Kim et al 2016,89
88,15.5,0.2,7,15.1,0.1,8,14.8,0.2,9,Kim et al 2016,88
55,13.3,0.6,7,12.5,0.2,8,11.9,0.1,9,Kim et al 2016,55
53,11.3,0.,7,12.1,0.2,8,11.6,0.1,9,Kim et al 2016,53
193,18.35,0.,7,15.86,0.,8,14.57,0.08,9,Forbrich et al 2009,193
194,14.4,0.1,7,12.0,0.05,8,10.4,0.05,9,Evans et al 2009,194
198,13.78,0.1,7,12.35,0.1,8,11.18,0.1,9,Luhman et al 2006,198
199,11.62,0.05,7,10.3,0.05,8,9.74,0.05,9,Bulger et al 2004,199
200,14.4,0.05,7,12.,0.05,8,10.4,0.05,9,Bulger et al 2004,200
201,16.5,0.4,7,12.3,0.1,8,11.3,0.1,9,Bulger et al 2004,201
202,16.49,0.,41,14.44,0.,42,12.02,0.,43,Gomez et al 1994,202
204,-99.0,-99.0,-99,18.6,0.1,44,15.7,0.1,45,Apai et al 2005,204
206,15.146,0.039,7,14.101,0.030,8,13.074,0.036,9,Caballero 2008,206
207,15.535,0.055,7,14.043,0.032,8,12.651,0.021,9,Caballero 2008,207
301,16.890,0.000,7,15.658,0.145,8,12.670,0.035,9,Riaz et al 2016,301
313,15.736,0.070,7,13.846,0.062,8,12.502,0.035,9,Riaz et al 2021,313
314,18.511,0.000,7,14.834,0.067,8,12.720,0.029,9,Riaz et al 2021,314
315,16.046,0.113,7,13.765,0.055,8,12.023,0.052,9,Riaz et al 2021,315
316,15.389,0.073,7,14.785,0.081,8,14.159,0.078,9,Riaz et al 2021,316
317,18.542,0.000,7,16.129,0.000,8,14.890,0.131,9,Kim et al 2016,317
321,15.518,0.189,7,11.785,0.141,8,10.982,0.114,9,Cutri et al 2003,321
323,17.429,0.0,7,16.036,0.0,8,14.938,0.132,9,Cutri et al 2003,323
324,18.106,0.0,7,15.807,0.0,8,14.639,0.094,9,Cutri et al 2003,324
